dataset,model,readout,cIoU,AUC
vggss,original_1.3g_final,AUD,0.42690965490500193,0.4229740209383482
vggss,original_1.3g_final,IMG_QUERY,0.4069406746801086,0.416614967041489
vggss,original_1.3g_final,IQR,0.4230321830166731,0.423419930205506
vggss,original_1.3g_final,OBJ_PRIOR,0.34780922838309425,0.3924195424583172
vggss,original_1.3g_final,OGL,0.4569600620395502,0.44009305932531995
vggss,original_1.3g_final,EXTRA_IQR_OGL,0.4447460255913145,0.43431562621171
vggss,cram_c3_stage1,AUD,0.3912369135323769,0.4132318728189221
vggss,cram_c3_stage1,IMG_QUERY,0.38755331523846454,0.4122237301279566
vggss,cram_c3_stage1,IQR,0.39278790228770843,0.41396859247770457
vggss,cram_c3_stage1,OBJ_PRIOR,0.34780922838309425,0.3924195424583172
vggss,cram_c3_stage1,OGL,0.4241954245831718,0.427723924001551
vggss,cram_c3_stage1,EXTRA_IQR_OGL,0.4143078712679333,0.4232357502908104
vggss,cram_c3_stage2,AUD,0.4342768514928267,0.4296238852268321
vggss,cram_c3_stage2,IMG_QUERY,0.38755331523846454,0.4122237301279566
vggss,cram_c3_stage2,IQR,0.42031795269484296,0.42475765800697945
vggss,cram_c3_stage2,OBJ_PRIOR,0.34780922838309425,0.3924195424583172
vggss,cram_c3_stage2,OGL,0.45230709577355566,0.4400542846064367
vggss,cram_c3_stage2,EXTRA_IQR_OGL,0.444552151996898,0.4352074447460256
vggss,short_step000,AUD,0.38813493602171384,0.4126308646762311
vggss,short_step000,IMG_QUERY,0.38755331523846454,0.4122237301279566
vggss,short_step000,IQR,0.3892981775882125,0.41325126017836367
vggss,short_step000,OBJ_PRIOR,0.34780922838309425,0.3924195424583172
vggss,short_step000,OGL,0.4205118262892594,0.42723924001550995
vggss,short_step000,EXTRA_IQR_OGL,0.4110120201628538,0.42262504846839866
vggss,short_step016,AUD,0.3931756494765413,0.41342574641333846
vggss,short_step016,IMG_QUERY,0.38755331523846454,0.4122237301279566
vggss,short_step016,IQR,0.3931756494765413,0.41420124079100423
vggss,short_step016,OBJ_PRIOR,0.34780922838309425,0.3924195424583172
vggss,short_step016,OGL,0.42574641333850327,0.4291779759596743
vggss,short_step016,EXTRA_IQR_OGL,0.4152772392400155,0.4237785963551764
vggss,short_step064,AUD,0.3989918573090345,0.41629507561070184
vggss,short_step064,IMG_QUERY,0.38755331523846454,0.4122237301279566
vggss,short_step064,IQR,0.3989918573090345,0.41667312911981386
vggss,short_step064,OBJ_PRIOR,0.34780922838309425,0.3924195424583172
vggss,short_step064,OGL,0.43737882900348973,0.4336952307095774
vggss,short_step064,EXTRA_IQR_OGL,0.4238076773943389,0.4269678169833269
vggss,lambda025k_best,AUD,0.3790228770841411,0.40807483520744475
vggss,lambda025k_best,IMG_QUERY,0.38755331523846454,0.4122237301279566
vggss,lambda025k_best,IQR,0.3964715005816208,0.4158879410624273
vggss,lambda025k_best,OBJ_PRIOR,0.34780922838309425,0.3924195424583172
vggss,lambda025k_best,OGL,0.4329197363319116,0.4311845676618845
vggss,lambda025k_best,EXTRA_IQR_OGL,0.4189608375339279,0.4261923226056612
vggss,lambda025k_latest,AUD,0.07270259790616518,0.1271132221791392
vggss,lambda025k_latest,IMG_QUERY,0.38755331523846454,0.4122237301279566
vggss,lambda025k_latest,IQR,0.26715781310585496,0.3560294687863513
vggss,lambda025k_latest,OBJ_PRIOR,0.34780922838309425,0.3924195424583172
vggss,lambda025k_latest,OGL,0.28189220628150446,0.36222373012795656
vggss,lambda025k_latest,EXTRA_IQR_OGL,0.28964715005816205,0.3637747188832881
vggss,lambda050k_best,AUD,0.20763861962000776,0.30093059325319893
vggss,lambda050k_best,IMG_QUERY,0.38755331523846454,0.4122237301279566
vggss,lambda050k_best,IQR,0.3198914307871268,0.3815723148507174
vggss,lambda050k_best,OBJ_PRIOR,0.34780922838309425,0.3924195424583172
vggss,lambda050k_best,OGL,0.3404420317952695,0.3899573478092284
vggss,lambda050k_best,EXTRA_IQR_OGL,0.3344319503683598,0.3887553315238465
vggss,lambda050k_latest,AUD,0.05195812330360605,0.09504652966265995
vggss,lambda050k_latest,IMG_QUERY,0.38755331523846454,0.4122237301279566
vggss,lambda050k_latest,IQR,0.18379216750678556,0.30390655292749125
vggss,lambda050k_latest,OBJ_PRIOR,0.34780922838309425,0.3924195424583172
vggss,lambda050k_latest,OGL,0.19290422644435828,0.30932531989143075
vggss,lambda050k_latest,EXTRA_IQR_OGL,0.19387359441644048,0.30698914307871267
